neighbourhood_group_n,neighbourhood_n,room_type_n,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,1,1,1,7,17,234
1,9,1,3,9,1,68
2,83,1,1,1,1,125
0,12,0,1,10,1,0
0,21,0,5,1,1,250
1,23,1,4,4,1,65
1,19,0,1,31,4,94
1,9,1,1,23,1,14
2,37,0,1,68,1,299
1,30,0,1,32,1,5
1,1,1,4,4,1,0
0,12,0,1,4,3,365
1,2,1,1,1,1,0
1,19,0,1,20,1,67
2,39,2,1,41,3,145
0,24,0,2,1,2,89
1,19,0,7,9,1,144
1,43,1,29,0,327,342
0,12,1,4,17,1,9
1,28,1,2,1,1,0
1,7,1,30,0,49,348
0,79,1,1,34,5,133
1,7,1,2,137,1,317
1,14,1,30,0,2,0
2,25,0,2,0,1,356
1,19,1,5,6,1,0
2,63,1,1,0,1,0
1,60,0,7,3,1,0
0,12,1,7,0,1,6
1,43,0,1,0,1,0
0,15,2,2,1,3,167
1,8,1,3,29,1,6
0,54,0,2,6,3,61
2,46,0,1,7,3,139
3,195,1,14,0,1,23
2,49,1,11,27,2,212
1,28,1,5,0,1,0
1,2,0,1,0,1,0
0,135,0,1,30,1,6
1,7,1,4,2,1,0
0,32,1,2,8,1,0
1,19,1,4,0,1,0
0,15,1,2,14,1,16
2,49,1,28,49,1,313
0,79,0,1,8,1,74
4,142,0,2,0,1,364
2,103,0,1,8,3,342
1,18,0,1,15,1,0
0,6,1,3,234,4,308
0,54,1,1,6,1,0
1,7,1,1,2,1,133
0,13,1,3,10,1,0
0,32,1,3,7,1,0
1,14,1,3,0,3,140
0,10,0,1,0,1,0
1,7,1,4,30,1,0
2,37,0,2,0,1,0
0,21,0,2,0,2,0
0,22,0,5,12,5,67
2,37,0,1,25,4,317
1,43,1,1,1,1,16
2,85,0,1,165,1,365
1,28,1,30,0,33,346
0,12,0,2,349,1,13
1,30,0,3,28,2,0
1,28,1,1,16,2,351
1,14,0,3,250,1,111
0,21,1,45,3,1,21
0,13,0,2,47,1,0
0,54,1,2,77,1,264
0,6,0,3,0,2,0
0,40,1,3,8,2,0
1,43,1,29,0,1,283
0,54,0,2,9,3,357
1,53,1,1,3,1,362
1,1,1,28,1,49,257
0,6,0,1,38,1,0
0,15,1,3,12,1,343
0,6,0,3,4,7,109
1,8,1,30,0,9,266
3,55,0,1,0,1,88
0,21,2,1,103,4,133
2,56,0,15,1,2,0
1,2,1,1,160,3,246
4,99,0,5,8,2,179
1,18,0,1,0,1,0
0,12,1,5,0,1,365
0,21,1,4,77,1,258
1,28,1,4,126,2,290
0,12,0,3,21,1,0
1,28,1,25,3,1,161
1,7,0,1,119,2,316
1,18,0,3,1,1,0
0,24,1,3,24,3,19
0,13,0,3,154,2,305
4,59,0,3,55,4,63
1,5,1,1,5,1,0
0,20,0,1,55,1,0
1,2,0,3,88,1,189
0,20,1,3,11,1,0
1,2,1,1,2,1,161
0,16,1,5,1,1,0
1,43,1,30,2,96,336
1,23,0,5,0,1,0
2,37,0,2,21,1,51
1,14,1,2,10,1,0
1,64,1,2,8,1,86
0,70,0,2,56,2,27
1,14,0,2,20,2,0
3,110,0,2,36,7,286
1,4,1,30,0,1,0
0,20,1,3,70,1,178
0,20,1,1,50,1,188
0,10,0,1,102,1,269
0,21,0,3,480,1,0
1,2,1,1,0,4,78
0,15,0,20,1,1,0
1,30,1,4,0,1,0
0,79,0,31,0,1,0
0,20,1,15,6,1,17
1,43,1,2,6,327,325
1,2,0,1,141,4,348
2,121,1,2,34,2,117
2,121,0,7,17,1,66
1,19,1,3,31,1,0
0,6,2,3,14,34,361
1,7,1,30,3,52,342
1,68,1,5,8,2,0
2,81,0,29,2,5,1
1,8,0,1,14,1,12
1,4,0,2,97,5,22
0,6,1,1,1,3,0
1,77,1,2,0,1,0
1,8,0,1,22,3,38
0,20,0,1,5,2,163
0,24,0,4,19,3,43
1,9,0,25,20,5,365
0,54,0,3,20,1,27
1,8,1,1,180,3,125
0,21,1,3,1,1,46
1,19,1,1,0,1,188
1,18,1,14,7,1,21
2,85,1,3,4,3,348
1,30,2,1,21,1,188
0,12,1,30,6,1,363
1,68,1,30,0,87,310
1,52,0,5,69,1,137
0,20,1,3,20,1,313
0,21,0,2,15,8,344
1,19,1,4,5,1,0
0,75,0,3,42,4,290
0,12,0,1,7,1,0
2,37,1,2,84,3,119
1,14,0,1,4,2,0
1,2,1,2,68,1,9
1,68,1,10,51,1,64
1,19,1,2,69,1,39
1,8,1,3,81,1,198
4,127,1,1,6,1,362
2,81,0,2,110,1,222
1,7,0,1,41,2,8
1,14,1,1,18,1,0
4,59,0,2,2,2,220
1,71,1,30,0,4,0
0,29,0,1,222,13,290
0,22,1,6,14,3,339
0,15,0,4,34,1,18
1,2,1,1,4,1,8
1,68,1,3,26,2,19
1,19,0,2,19,2,32
1,52,0,2,4,1,0
1,5,1,1,0,2,365
0,20,1,2,19,1,81
1,28,1,2,134,1,36
4,134,0,2,143,1,263
1,2,0,1,8,1,0
1,2,1,3,1,1,0
0,20,1,2,22,1,341
0,6,0,1,194,4,0
1,19,1,3,10,1,0
1,28,1,30,0,2,365
0,6,0,1,3,1,0
0,15,1,1,105,2,274
1,43,1,2,3,1,0
0,21,0,5,70,3,236
0,15,0,1,54,1,0
1,19,1,2,29,1,55
2,49,0,1,14,5,310
1,1,0,2,2,1,0
0,12,0,20,2,1,333
0,16,1,3,70,1,338
3,208,1,30,2,1,0
1,7,0,1,161,6,165
0,21,1,2,50,1,0
1,60,0,2,3,1,0
0,6,1,2,5,1,0
2,83,0,2,8,6,75
2,56,1,5,0,5,0
1,52,0,3,20,2,15
1,30,0,1,129,2,299
1,43,1,2,4,327,298
0,20,1,30,3,52,365
1,14,2,27,0,1,365
1,4,0,3,0,1,0
1,23,0,1,109,3,364
1,2,0,1,6,2,90
1,2,1,2,12,1,14
1,9,0,25,8,1,0
2,62,1,3,24,1,131
1,7,1,3,0,1,161
0,6,0,1,27,4,311
